index,subindex,subsubindex,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Electricity Generation,,,4175.70,4604.90,5114.70,5897.90,6447.80,6940.50,7441.90,7859.50,8625.90,9420.70,9876.30,10576.50,11813.80,13017.50,14038.90,15617.60,16596.60,17543.10,18962.40,20675.40,22057.40,23909.40,26709.40,28374.80,29520.10,31665.00,33061.00,34664.60,35281.50,36809.60,38212.70,39480.40,41134.10,41669.60,41800.60,45366.50,45999.40,46936.00,47963.30,49309.70,50271.50,51586.60,52225.30,52904.60,54142.00,53071.60
Electricity Consumption,Industrial-related,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13836.10,14397.20,14943.20,15032.70,14539.70,16448.00,16752.40,17112.40,17237.40,17989.00,18277.60,18368.30,19309.60,19421.60,19422.40,19101.40
Electricity Consumption,Industrial-related,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.80,250.50,279.10,300.90,308.30,337.80,363.00,443.70,490.50,527.10,531.00,551.60,483.50,429.60,395.20,386.90
Electricity Consumption,Industrial-related,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.00,441.80,569.20,668.40,691.90,843.40,928.50,978.90,1074.80,1198.00,1237.20,1452.70,1401.50,1517.90,1573.60,1416.40
Electricity Consumption,Industrial-related,Other Industrial-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.20,25.90,27.50,29.00,30.40,33.30,33.60,37.50,40.10,39.20,42.20,45.80,46.30,47.80,53.30,52.40
Electricity Consumption,Commerce And Service-related,Wholesale And Retail Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.80,1977.20,1891.90,1924.70,1821.40,1923.00,1898.80,1909.40,1967.10,2020.50,2107.40,2073.40,2281.90,2316.20,2265.50,2181.00
Electricity Consumption,Commerce And Service-related,Accommodation And Food Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.30,1087.00,1131.50,1171.70,1169.20,1219.60,1251.40,1275.10,1326.60,1332.30,1350.20,1453.20,1406.40,1465.20,1523.40,1289.20
Electricity Consumption,Commerce And Service-related,Information And Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.20,708.70,761.20,844.50,866.00,925.50,988.60,1084.40,1149.10,1294.50,1426.70,1848.00,1859.90,2227.50,2492.00,3083.30
Electricity Consumption,Commerce And Service-related,Fincial And Insurance Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.90,1659.70,2014.60,2014.90,1865.40,1927.00,2003.20,2204.20,2257.90,2574.10,2718.10,2361.70,2410.10,2320.00,2379.30,2150.80
Electricity Consumption,Commerce And Service-related,Real Estate Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3712.40,3780.80,3810.00,3931.20,4050.80,4346.20,4454.70,4522.60,4532.40,4485.70,4454.60,4497.00,4671.90,4676.50,4865.30,4548.50
Electricity Consumption,Commerce And Service-related,"Professiol, Scientific & Technical, Administration & Support Activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.20,740.50,834.20,842.00,778.40,885.80,934.10,930.80,932.70,681.00,713.70,683.40,689.80,720.70,807.40,800.20
Electricity Consumption,Commerce And Service-related,Other Commerce And Service-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612.70,3831.80,4077.20,4275.70,4248.80,4242.70,4345.40,4439.60,4552.80,4658.50,4710.30,4782.60,4742.70,4855.80,4982.20,4461.70
Electricity Consumption,Transport-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.00,1245.40,1300.20,1399.80,1607.80,2098.70,2224.20,2328.60,2369.10,2441.00,2444.80,2639.40,2767.90,2949.50,3020.90,2810.20
Electricity Consumption,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6092.50,6109.10,6163.70,6094.00,6430.80,6636.00,6482.70,6629.50,6754.90,6924.40,7220.90,7585.80,7289.90,7231.50,7681.30,8244.50
Electricity Consumption,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.10,546.20,501.50,457.60,413.90,384.80,346.50,304.00,263.40,237.70,279.10,280.10,276.50,258.40,251.70,233.90
