housing,type,region,area,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Public Housing,1-room / 2-room,Central Region,Bishan,104.9,94.1,110.8,108,117.5,111.8,121.5,109.9,107.1,109,101.3,101.5,98.6,97,96,98.6,112.9,107.5,102.4,104.1,111.5,112.5,103.2,106.3,100.9,100.8,100.6,90.4,113.8,107,130.9,111.5,110.1,101.3,113.2,110.5,91,104.5,99.9,100.9,113.9,124.7,114.7,113.4,105.7,106.6,115.9,110.6,97.5,110.2,100.1,109.8,129.1,115,127.4,126.7,117.1,114.5,110,109.6,86.7,110.2,102.8,113.5,124.3,123,87.4,114.7,101.7,125.4,154.7,190.7,113.8,109.4,106.1,124.2,129.8,137.5,142.6,152.8,133.5,131.8,128.7,127.2,117.1,120.4,117.4,132.1,125.8,153.2,137.8,141.8,147.3,131.2,131.4,117.4,128.2,117,126.6,126.1,141.2,157.7,153.1,146.9,141,122.5,126.3,140.8,135.7,122.4,108.2,126.7,152.4,156.8,152,151.3,147.3,140.8,144.4,134.2,124.6,118.3,134.7,136.4,147.8,150.6,146.5,169.2,154.1,151.1,155.3,139.8,142.4,139.8,124.6,153,165.8,171.2,151.8,160.6,149.9,160.3,147.1,131.3,135.1,149.7,120.3,136.2,140.9,159.5,152.2,156.2,134.5,145.7,136.9,136,133.3,122.6,122,138.2,139.6,162.5,148,147.1,140.5,156.1,146.2,132.4,137.8,128.4,127.3,143.1,140.7,160.1,141.9,155,155,144.7,139.6,139.4,134.6,132.1,133.9,151.6,160.3,48.9,112.6,122.7,116.3,150.7,143.3,177.6
Public Housing,1-room / 2-room,Central Region,Bukit Merah,140.7,119.4,126.1,146,147.9,140.8,146.2,144.1,141.7,139.6,136.1,130.8,134.9,121.4,120.9,134.4,139.1,137.8,139.6,132.3,145.1,138.8,143.5,135,137.6,121.5,123.5,132.5,144,146.1,149.4,140,148.9,133,145.8,141.2,141,127.8,126,131.5,148.6,153.1,143.9,133.2,140.8,146,142.9,123.2,139.2,127.4,123.3,133.1,150.6,147.7,155.3,156.4,149.2,149.8,155.2,139,147.6,133.8,138.2,153.8,160.3,153.9,160,153,150.7,152.1,153.5,155,153.7,128.9,128.9,144.7,154,156.2,166,155.6,160.1,154.2,149.8,140.8,151.5,136.1,138.5,150,152.6,157,162.9,157.3,159.5,142.8,151.2,146.3,148.3,136.5,134.7,146.2,161.2,170.2,162.8,168,163.3,148.7,163.5,148.4,154.9,143,133.3,148.3,165.9,167.6,170.6,177.6,166.5,147.1,173,157.5,155,139.6,138.4,158.5,170.4,165.9,165.1,176.2,177.7,168.5,172.2,168.5,173.9,152.3,157,168.7,179,184.4,174.9,172.7,180.6,175.9,179.4,163.1,165,160.7,148.7,156.7,165.7,175.2,177.6,168.2,177.2,156.7,168.6,158.1,159.8,144.9,135.8,153.6,164.1,164.3,163.9,167.3,172.9,154.5,154.9,150,159.2,143.7,147.8,160.7,166.4,152.5,159,160.2,169.7,159.1,164.4,153.8,145.6,145.5,148,160.5,184,191.8,202.3,175.7,174.7,163.1,176.6,161.8
Public Housing,1-room / 2-room,Central Region,Bukit Timah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,37.6,44,108.4,80.9,98.6,88.4,152.2,125.3,144.8,139.5,130.8,124.2,123.8,130,109.5,142.6,122.9,115.8,144.6,145.5,140.5,148.7,125.3,143.1,137.3,139.7,122.9,129.7,136.9,140,138.5,148.5,139.1,141.9,145.2,146.4,130.4,138.6,132.1,145.9,135.4,146.2,166.5,167.2,123.1,154.8,166,155,159.3,151.9,100.8,141.6,163.8,152.3,141.1,167.8,236.5,180,155.2,158,151.9,164.8
Public Housing,1-room / 2-room,Central Region,Geylang,148.5,144,145.7,159.9,155.7,170.5,160.8,161.7,152.3,153.2,151.6,147.6,137.4,135.2,133.9,143.6,142.6,156.9,144.8,157,154.9,149.7,151.7,146.3,141,140,132.7,152.9,151.1,161.6,157.7,160,153.6,150.7,163.5,144.2,144.3,146.2,136.1,148.2,167.8,164.1,157.3,160.2,155.9,153.8,164.8,147.7,153.6,134.9,132.9,154.2,154.1,172.5,169.2,163.1,161.7,165.8,161.5,155.4,152.6,151.4,155.2,171.3,164.4,180.1,172.4,163.1,162.7,171.6,181,190.9,161.4,147.3,146.7,158.7,167.6,182.8,172.9,177.3,176.6,169.8,169.5,155.4,159.2,157.6,152.6,162.1,161,183.1,171.3,175.2,168,164.6,169.3,158.2,160,151.1,150.5,171.5,177.8,179.3,176.7,186.5,171.3,163.1,170.9,158.9,162.9,149.3,146.3,170.4,179.2,190.6,185.2,192.1,179.5,180.3,175.4,170.3,169.1,150.4,150.4,176.2,178.9,194.7,191.9,189.7,180.2,188.5,193.5,183.7,178.2,160.7,158.5,187.3,190.5,204.2,193.5,184.7,187.6,170,171.4,159.8,171.3,163.2,156.8,163,175.8,192.5,183,174.9,176,173.5,173.5,164.6,170.5,146.8,151.9,168,167.1,197.9,175,171.2,179.4,172.1,170.8,161.6,168,168.1,162.2,160.5,176.2,180.4,172,179.4,179.9,175.7,176,157.7,151.7,160.9,159.9,175.3,185.3,227.9,203.9,194,182,178.3,182.3,176.4
Public Housing,1-room / 2-room,Central Region,Kallang,115.6,107,112,124.8,131.2,125.6,130.7,126.6,118.6,120.2,124.2,113.3,111.4,107.2,106.7,112.6,124.1,120.5,122.2,126.4,122,122.8,129,119.1,113.3,108.4,107.4,114.5,131.2,128.9,137.4,131.9,124.6,124.1,131.3,125.3,115,118.7,111.5,119.2,133.1,135.1,131.2,126.2,127.4,127.5,138.1,125.7,118.4,122,115.5,124.5,141.9,137.2,140.8,145.4,133.8,133.6,141.5,132.5,123.2,127.5,132.8,139.2,144.8,143.5,143.3,144.1,132.7,144.6,157.7,172,132.4,126,111.8,131.2,145.3,143.2,155,151.6,139.8,145.4,137.6,130.6,128.3,127.1,130.2,136.4,139,145.5,149.8,145.9,142.4,135.6,141.5,137.5,129.7,128.1,125.9,131.4,153.2,155.8,148.9,158.8,137.3,138.2,140.2,144.3,129.3,128.7,119.5,131.5,151.6,157.7,156.4,159.2,146.4,145.9,153.4,145.5,126.7,134.9,122.9,140.6,162.1,154,158.2,163.8,159.3,161,158.3,157.3,143.6,152.8,138.8,154.7,172.1,168.4,162.5,162.4,149.8,161.5,156.8,150.3,139.3,144.1,127.7,137.8,153,162.4,161,153.8,146.5,148.9,146.7,149,134.2,131,122.8,138.7,153,160.1,150.5,147.5,154.8,152.9,136.2,138.5,135.8,140.6,136.8,137.7,149.6,147.8,145.3,153.5,150.5,148.2,146.3,147.5,124.8,135.5,133.3,139.8,151.1,180.5,204.3,164.8,152.2,150.9,153,152.9
Public Housing,1-room / 2-room,Central Region,Marine Parade,165.3,158.6,144.5,188,166.9,203.9,170.9,188.9,163.2,177.4,156.8,155,152,152,133.9,187.4,145.4,181.8,162.4,176.7,168.5,182.1,165,150.5,177.3,170,142.3,177.3,178.2,187.3,187.8,174.9,173.7,179.9,175.9,169.2,155.2,158.5,148.6,184.4,164.6,195,185.2,169.8,174.2,179.2,185,166.9,170.3,143.3,159.9,198.1,176,218.3,184.8,183.2,200.1,192.2,195.7,159.2,184.6,182.2,165.4,187.3,197.2,224.5,197.2,179.9,185.2,185.8,186.3,186.9,188.2,152.9,156,189.2,184.4,214.9,201.6,207.7,197.4,176.6,203.5,163.4,183.5,177.9,174.8,198.4,175.4,216.2,200.3,198.3,206.2,196.1,190.3,173.9,196,159.7,162,225,186.4,192.1,199,209.5,214.8,198.7,188.9,181,177.7,161.6,167.4,208.2,187.1,240.5,192.1,214.1,213.8,201.7,200.2,181.3,188.8,154.4,159.6,220.3,192.9,225.7,193.7,216.2,223.9,206.3,214.3,196.2,207.6,197.4,183.7,204.1,206,251.2,220.7,215.9,218.3,185.9,214.5,192.9,216.1,171.6,184.3,202.3,207.1,227.8,221.8,195.9,196.3,221.2,196.6,180.1,202.8,176.7,178.7,209,185.3,260.9,220.3,175.8,221.2,207.9,198.8,167.6,197.3,195.3,175,207,190.5,200.5,204,204.1,204.5,209.4,198,170.8,180.6,183.5,183.6,192.3,189.3,353.7,217.1,213.6,228.6,196.4,223.3,210.2
Public Housing,1-room / 2-room,Central Region,Novena,136.1,136.1,138.8,124.4,171,159.3,162.9,154.8,163.8,142.7,169.9,134.5,142.6,136.6,143.9,139.6,150.6,160.3,149.8,164.1,161.3,150.3,147.3,166.4,145.1,154.6,135.5,148.9,159.6,170,171.6,179.2,141.4,162.6,173.6,150,131.2,164.1,147.8,151.4,187.8,165,161.7,161.1,166.5,150,168.5,161.3,158.5,151.9,144.7,150.5,177.9,169,183,170.7,159.4,179,184.5,174.3,158.7,157.4,166.1,169.4,179.2,182.2,188.2,178.1,171.1,161.7,152.9,144.6,159.2,166.7,155.5,152,180.9,178.6,192.6,187.9,200.6,179,196.4,170.5,148.6,176.6,180.7,176.6,168.6,189.5,207.7,202.3,177.3,191.9,197.1,186.3,157.5,196.4,151.9,175.7,212.4,209.2,184.3,202.6,179.6,193.2,199.2,190,168.3,172.6,162.3,164.3,233,189.3,183.5,216.5,183.8,196.7,222.4,190.3,184.3,185.1,183.1,187.5,201.8,203.3,243.1,217.4,175.4,207,218.9,203.4,180,192.1,167.4,200.1,237,215.5,195.1,217.6,196.9,189.5,189.8,197.5,168.9,205.7,143.8,150.6,187.3,187.6,180.3,189.7,159,171.2,174.8,161.8,164.9,175.5,140,162.9,186.4,186.1,177.5,180.9,172.2,188.6,156.9,161.8,178.2,181.2,152,171.8,163.8,171.3,171.7,185.9,169.8,177.8,191,173.2,142.1,178.2,167.6,177.2,174.4,195.6,269.1,193.9,161.7,184.8,183.7,185.9
Public Housing,1-room / 2-room,Central Region,Outram,114.2,117,115.7,117.3,138.1,123.2,133.9,128.7,131.6,116.6,126.1,117,116.7,112.4,116,108.4,132.7,124.1,126.3,123.9,130.9,114.1,126.6,121,118.2,116.7,110.5,105.8,135.8,126.3,143.5,136.6,127.5,125.4,138.9,122.4,113.8,118.8,107.7,115.7,143.2,125.4,124.9,129.1,117.9,121.4,135.9,118.9,119.4,116.8,116,113.8,141,128.1,142.9,145.6,131.7,139.8,141.1,137,118.1,129.1,126.6,132.9,144,143.6,133.7,152.2,118.6,146.4,180.7,223,126.3,127.5,111.6,126.9,148.8,135.6,153.1,148.1,131,148.6,136.5,141.2,126.3,128.1,137.5,129.5,134.6,147.2,149,140.3,136.1,136,132.9,143.2,128.3,134.7,124.5,124.5,154,152,146.6,157.3,134.4,138.5,144.1,139,121.4,136.9,119.4,122.9,167.1,145.1,154,159.2,136.6,150.6,162.5,151.5,117.2,147,119.4,136.4,161,144.7,156.3,162.4,163.1,160.4,161.6,157.2,141.7,150.4,130.1,151.2,181.7,169.2,163.3,169.7,151.7,167.8,145.8,157.5,138.1,161.8,126.2,130.4,169.4,171.9,162,164.8,151.9,153,147.2,154.2,136.4,145.7,129.5,131.8,157.8,158.1,156.1,158.9,153.1,151.3,142.4,135.8,145.7,145.2,138.3,137.4,152.8,145.3,138,153.7,158.3,151.5,145.1,144,121.3,140.1,138.1,142.1,149.4,155,217,173,156.4,155.3,153.2,158.7
Public Housing,1-room / 2-room,Central Region,Queenstown,148.6,143,139,159.4,160.7,161.1,158.4,162,153.6,152.8,157.7,145.6,147.8,139.4,133,149,158.7,157.3,158.6,156.9,157.2,159,154.3,155.1,151.3,143.6,130.1,148.6,159.6,163.3,165,162.9,161.7,151,164.8,150.6,153.5,146.3,137.8,146.8,165.1,164.8,163,153,157.5,159.9,159.6,149.1,153.3,143.8,135.2,152,168.4,168.3,176.9,171.8,159.9,167.7,169.9,164,151.8,147.7,159.6,166.9,170.9,170.6,171.4,167.1,154.9,167.8,181.9,197.1,157.2,145.1,138.9,153.5,164,173.7,175.2,171.7,175.6,168.1,156.8,158.7,158.4,151.6,143.3,160.2,165.2,166.9,174.4,175.2,167.1,156,166.8,158.2,154.5,149.4,139,160.8,176.4,172.8,175.2,189.4,170.5,162.6,159.5,159.5,152.9,151.5,141.9,161.1,165.5,179.1,190.4,188.2,173.8,169.1,179.4,170.2,162,150.5,138.4,164.5,183.3,178.9,174.7,186.2,187,179.5,183.6,179.4,177.7,162.6,157.8,179,192.8,202.7,173.7,176.2,188.6,190.2,177.7,172.9,169.8,166.9,147.2,164.8,174,187,183.3,179.7,177.6,166.5,167.8,155.5,163.3,153.1,134.4,156.7,165,171.2,178.9,168.6,173,158.8,159.3,152.8,159.5,160.6,150.5,164.7,172.7,163.9,163.2,165.8,170.2,171.5,165.9,156.6,153.4,149.1,147.6,164.9,173.1,226.3,198.4,179.3,183.1,164.4,176.7,168.9
Public Housing,1-room / 2-room,Central Region,Rochor,164.4,131.5,127.7,195.2,157.5,165.5,167.4,176.3,160.1,166.3,160,160.7,146.2,142.5,140,170.8,154,169.8,163.4,165.9,161.9,164.3,162.1,150.1,168.5,141,141.2,182.2,161.3,206.7,171.6,167.8,185.3,166.2,187,158.9,167.6,160.8,141.6,150.8,171.9,202.6,178.3,178.7,169.5,168,184.6,162.9,169.7,150.1,146.5,171.2,187.5,210.7,195.4,197.6,187.6,169.6,191.5,171.5,188.5,152.6,159.8,186.5,186.1,196.4,192.6,166.7,175.3,192,210.3,230.4,186.8,143.5,150.5,169,177.7,206.4,195.4,175.3,200.2,180.9,174.7,162.7,191.1,154.9,173.1,186.4,165.6,217,173.2,189.4,187.7,178.3,184.2,172.9,183.3,150.2,175.2,189.2,185.7,216.6,187.3,214.5,182.7,177.7,191.3,185.6,180.8,155.1,153.2,179.9,167.3,224,195,189,211.8,176.7,191.6,174.5,184.9,145.1,150,191,181.5,223.3,192.8,198,180.7,209.1,205.2,204.5,218.8,171.4,172.7,172.9,195.9,243.5,234.2,196,224.4,219.7,220.7,192.3,212.7,175.3,189.8,193,187.8,250.4,223.8,188.8,224.8,200.9,201,188.8,219,135.8,181,209.2,189.8,232.2,196.8,188.6,219.2,197.9,204.6,158.6,176.5,192.9,169.7,204.2,189.4,207.6,189.3,190.7,212.4,180.8,203,186.3,196,170.7,166.8,170.2,193.7,311.6,216.5,236.8,218.9,179.5,213,207.9
